epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8436.46,0.85478,0.96595,0.95794,0.90047,0.85887,0.93771,0.68157,0.99932,1.02621,1.09336,0.0005941,0.0005941,0.0005941
43,8544.73,0.89817,1.06492,0.98653,0.81055,0.92404,0.92855,0.67054,1.00252,1.02889,1.09645,0.0005842,0.0005842,0.0005842
44,8650.95,0.88096,0.96551,0.97976,0.7742,0.79583,0.90255,0.6265,1.03479,1.26833,1.10171,0.0005743,0.0005743,0.0005743
45,8756.87,0.82766,0.91214,0.9441,0.78949,0.89371,0.90608,0.64987,1.00156,1.08839,1.06517,0.0005644,0.0005644,0.0005644
46,8862.61,0.84773,0.87905,0.96241,0.85966,0.85843,0.90333,0.6541,0.99095,1.01015,1.06169,0.0005545,0.0005545,0.0005545
47,8972.28,0.85935,0.87457,0.96514,0.93932,0.84834,0.93141,0.66232,1.0072,1.00348,1.09061,0.0005446,0.0005446,0.0005446
48,9080.51,0.8071,0.86613,0.94093,0.89164,0.89748,0.93643,0.6801,0.98256,0.9639,1.06272,0.0005347,0.0005347,0.0005347
49,9189.06,0.84626,0.87217,0.96303,0.83853,0.86048,0.91443,0.67519,0.97673,1.07934,1.07075,0.0005248,0.0005248,0.0005248
50,9299.72,0.87652,0.90132,0.9815,0.90838,0.88654,0.94086,0.70588,0.96868,0.88587,1.09137,0.0005149,0.0005149,0.0005149
51,9408.83,0.81433,0.85583,0.93496,0.86557,0.93718,0.95131,0.69563,1.02212,0.91464,1.09717,0.000505,0.000505,0.000505
52,9521.58,0.86621,0.89033,0.97501,0.88317,0.89594,0.94681,0.6843,1.03338,0.94315,1.09759,0.0004951,0.0004951,0.0004951
53,9633.01,0.8089,0.82794,0.94909,0.90209,0.87404,0.93475,0.68033,1.0234,0.91561,1.11769,0.0004852,0.0004852,0.0004852
54,9743.6,0.81363,0.78521,0.94181,0.83299,0.88999,0.9253,0.66371,0.98806,0.94497,1.08403,0.0004753,0.0004753,0.0004753
55,9857.81,0.77295,0.82992,0.9411,0.76325,0.87181,0.91609,0.64895,1.00807,1.11972,1.08677,0.0004654,0.0004654,0.0004654
56,9979.79,0.79713,0.80987,0.94148,0.77812,0.90591,0.93255,0.66021,1.01141,1.0535,1.07509,0.0004555,0.0004555,0.0004555
57,10109.4,0.80477,0.79307,0.95094,0.84895,0.93359,0.92287,0.66991,0.99716,0.99226,1.07568,0.0004456,0.0004456,0.0004456
58,10226.7,0.78895,0.78478,0.9356,0.79491,0.78686,0.86504,0.62176,1.00377,1.32281,1.09812,0.0004357,0.0004357,0.0004357
59,10339.2,0.82145,0.85067,0.95666,0.875,0.82436,0.91127,0.64903,1.04793,1.11287,1.14365,0.0004258,0.0004258,0.0004258
60,10451,0.80244,0.81836,0.94931,0.86603,0.90121,0.92641,0.67032,1.00864,0.94106,1.10155,0.0004159,0.0004159,0.0004159
61,10561.1,0.80224,0.78407,0.93076,0.83233,0.92436,0.91508,0.67528,0.9829,0.93846,1.07809,0.000406,0.000406,0.000406
62,10672.4,0.78481,0.77007,0.94071,0.88768,0.88548,0.92509,0.69212,1.00346,0.90799,1.09094,0.0003961,0.0003961,0.0003961
63,10785.3,0.79044,0.76766,0.94871,0.8979,0.8773,0.9198,0.68967,0.99473,0.91838,1.09646,0.0003862,0.0003862,0.0003862
64,10896.1,0.78273,0.747,0.93309,0.88595,0.8359,0.92798,0.69188,0.958,0.88451,1.08621,0.0003763,0.0003763,0.0003763
65,11007.4,0.77012,0.80641,0.93691,0.84758,0.92157,0.93733,0.70118,0.96813,0.85278,1.08961,0.0003664,0.0003664,0.0003664
66,11117.8,0.82978,0.72877,0.9612,0.89957,0.90119,0.9475,0.70802,0.97331,0.82321,1.08946,0.0003565,0.0003565,0.0003565
67,11229.2,0.78374,0.76587,0.94282,0.92112,0.88786,0.94155,0.68461,0.98892,0.83327,1.09042,0.0003466,0.0003466,0.0003466
68,11342.7,0.75468,0.71611,0.91393,0.91582,0.89872,0.94707,0.67641,0.99405,0.85991,1.09298,0.0003367,0.0003367,0.0003367
69,11453.9,0.75585,0.76007,0.93149,0.89433,0.88654,0.91843,0.66698,0.9902,0.89461,1.10367,0.0003268,0.0003268,0.0003268
70,11565.2,0.78999,0.77316,0.93249,0.89958,0.90921,0.92096,0.69342,0.96205,0.87412,1.08299,0.0003169,0.0003169,0.0003169
71,11699,0.74001,0.72323,0.91277,0.84171,0.89936,0.90596,0.67647,0.96453,0.92828,1.08568,0.000307,0.000307,0.000307
72,11819.1,0.7512,0.71467,0.95092,0.89877,0.92436,0.93943,0.70182,0.96559,0.8119,1.10233,0.0002971,0.0002971,0.0002971
73,11943.8,0.76312,0.72407,0.94541,0.93095,0.91154,0.94315,0.71203,0.97203,0.78639,1.10628,0.0002872,0.0002872,0.0002872
74,12051.2,0.75655,0.77738,0.94518,0.89181,0.90247,0.9362,0.70168,0.98029,0.83375,1.106,0.0002773,0.0002773,0.0002773
75,12172.6,0.72355,0.6939,0.9179,0.89573,0.89704,0.93837,0.70151,0.97891,0.8386,1.08329,0.0002674,0.0002674,0.0002674
76,12285.9,0.70215,0.65824,0.89501,0.91472,0.86569,0.93342,0.69312,0.98306,0.87157,1.07731,0.0002575,0.0002575,0.0002575
77,12396.6,0.7743,0.69045,0.95744,0.90646,0.86186,0.92007,0.68472,0.9865,0.93385,1.07477,0.0002476,0.0002476,0.0002476
78,12508.9,0.73313,0.73519,0.91497,0.79901,0.87339,0.90172,0.67129,1.00053,1.06599,1.08613,0.0002377,0.0002377,0.0002377
79,12620.3,0.68587,0.66137,0.90809,0.87046,0.86108,0.91237,0.67154,0.98889,0.99787,1.08196,0.0002278,0.0002278,0.0002278
80,12725.8,0.70926,0.6389,0.92331,0.89841,0.8792,0.91345,0.67838,0.98538,0.88435,1.09139,0.0002179,0.0002179,0.0002179
81,12832.4,0.70974,0.65804,0.91615,0.81628,0.92883,0.92802,0.70004,0.95686,0.83055,1.09037,0.000208,0.000208,0.000208
82,12938.8,0.65049,0.63377,0.8846,0.89668,0.88495,0.92245,0.69512,0.95483,0.8577,1.08447,0.0001981,0.0001981,0.0001981
83,13045.8,0.68548,0.62075,0.92076,0.87364,0.89314,0.89716,0.65906,0.97543,0.96087,1.09308,0.0001882,0.0001882,0.0001882
84,13156.1,0.71366,0.66111,0.92513,0.89274,0.86186,0.89906,0.66715,0.97138,0.96924,1.09243,0.0001783,0.0001783,0.0001783
